rank_by_apps,name,appearances,goals,position,nationality,born,player_id
1458,Justin Hoyte,83,2,Right Full Back,,20 November 1984,144722
1459,Ian Culverhouse,83,1,Defender,England,22 September 1964,363
1460,Shaun Newton,83,1,Midfielder,England,20 August 1975,4033
1461,Wilfred Bouma,83,1,Defender,Netherlands,15 June 1978,113498
1462,Sander Westerveld,83,0,Goalkeeper,Netherlands,23 October 1974,3860
1463,Arouna Koné,82,17,Centre Striker,,11 November 1983,171380
1464,Michael Olise,82,14,Centre Attacking Midfielder,France,12 December 2001,360352
1465,Daniel Muñoz,82,8,Right Full Back,Colombia,26 May 1996,356506
1466,Mateusz Klich,82,5,Centre Central Midfielder,Poland,13 June 1990,336297
1467,Quinton Fortune,82,5,Midfielder,South Africa,21 May 1977,98006
1468,Rob Newman,82,5,Defender,England,13 December 1963,365
1469,David Rennie,82,4,Defender,Scotland,29 August 1964,118
1470,Michel Vonk,82,4,Defender,Netherlands,28 October 1968,42011
1471,Paul Allen,82,4,Midfielder,England,28 August 1962,42164
1472,Gary Elkins,82,2,Midfielder,England,4 May 1966,574
1473,Kevin Horlock,82,2,Midfielder,Northern Ireland,1 November 1972,353029
1474,Davide Santon,82,1,Left/Right Full Back,Italy,2 January 1991,131196
1475,Keith Rowland,82,1,Defender,Northern Ireland,1 September 1971,826
1476,Luke Thomas,82,1,Left Full Back,England,10 June 2001,356341
1477,Steve Yates,82,1,Defender,England,29 January 1970,764
1478,Aleksey Smertin,82,0,Midfielder,Russia,1 May 1975,4194
1479,Tomás Repka,82,0,Centre/Right Central Defender,Czech Republic,2 January 1974,99913
1480,Vito Mannone,82,0,Goalkeeper,Italy,2 March 1988,785349
1481,Marcus Stewart,81,26,Forward,England,8 November 1972,27403
1482,Massimo Maccarone,81,18,Centre Striker,Italy,6 September 1979,121122
1483,Dave Kitson,81,15,Centre Striker,England,21 January 1980,11727
1484,Geoff Horsfield,81,12,Forward,England,1 November 1973,96834
1485,Darren Eadie,81,7,Midfielder,England,10 June 1975,2135
1486,Andy Roberts,81,3,Defender,England,20 March 1974,1769
1487,Danny Granville,81,3,Defender,England,19 January 1975,3534
1488,Darren Moore,81,2,Defender,Jamaica,22 April 1974,26764
1489,Sergio Reguilón,81,2,Left Full Back,Spain,16 December 1996,355776
1490,Billy Gilmour,81,0,Defensive Midfielder,Scotland,11 June 2001,738059
1491,Derek Whyte,81,0,Defender,Scotland,31 August 1968,340
1492,Oleg Luzhny,81,0,Defender,Ukraine,5 August 1968,3384
1493,Grant Holt,80,24,Forward,England,12 April 1981,19956
1494,Nicolas Pépé,80,16,Right Winger,Cote D’Ivoire,29 May 1995,362398
1495,John Williams,80,11,Forward,England,5 November 1968,132
1496,Marc-Antoine Fortuné,80,11,Centre Striker,France,2 July 1981,139201
1497,Eddie McGoldrick,80,8,Midfielder,Ireland,30 April 1965,41912
1498,Alfie Mawson,80,6,Centre Central Defender,England,19 January 1994,322917
1499,Grant Leadbitter,80,5,Centre Central Midfielder,England,7 January 1986,154814
1500,Alex Scott,80,4,Central Midfielder,England,21 August 2003,344583
1501,Christian Atsu,80,3,Midfielder,Ghana,10 January 1992,270861
1502,Jairo Riedewald,80,2,Defensive Midfielder,Netherlands,9 September 1996,756384
1503,Sead Kolasinac,80,2,Left Full Back,Bosnia & Herzegovina,20 June 1993,343543
1504,Tyler Adams,80,2,Midfielder,United States,14 February 1999,345193
1505,Fábio,80,1,Left Wing Back,Brazil,9 July 1990,134143
1506,John Pemberton,80,0,Midfielder,England,18 November 1964,706
1507,Tony Roberts,80,0,Goalkeeper,Wales,4 August 1969,27118
1508,Loïc Rémy,79,28,Centre Striker,France,2 January 1987,306462
1509,Richard Holden,79,9,Midfielder,England,9 September 1964,761
1510,Edu,79,7,Midfielder,Brazil,15 May 1978,127970
1511,David Lee,79,5,Defender,England,26 November 1969,102
1512,Mohamed Elyounoussi,79,5,Midfielder,Norway,4 August 1994,346437
1513,Sandro Tonali,79,5,Centre Defensive Midfielder,Italy,8 May 2000,785795
1514,Emerson Royal,79,4,Right Full Back,Brazil,14 January 1999,362760
1515,Jamie Pollock,79,3,Midfielder,England,16 February 1974,1781
1516,André Ooijer,79,2,Centre/Right Central Defender,Netherlands,11 July 1974,125727
1517,Grant Hanley,79,2,Defender,Scotland,20 November 1991,739764
1518,Ron Vlaar,79,2,Centre Central Defender,Netherlands,16 February 1985,23780
1519,Jaap Stam,79,1,Defender,Netherlands,17 July 1972,110395
1520,Doriva,79,0,Midfielder,Brazil,28 May 1972,3310
1521,Nathan Baker,79,0,Centre Central Defender,England,23 April 1991,51322
1522,Ivan Klasnic,78,20,Centre Striker,Croatia,29 January 1980,5681
1523,John Fashanu,78,20,Forward,England,18 September 1962,903
1524,Roman Pavlyuchenko,78,20,Centre Striker,Russia,15 December 1981,5138
1525,Youri Djorkaeff,78,19,Midfielder,France,9 March 1968,3752
1526,Rodrigo Muniz,78,18,Striker,Brazil,4 May 2001,323855
1527,Geovanni,78,14,Left/Centre/Right Attacking Midfielder,Brazil,11 January 1980,4972
1528,Henrikh Mkhitaryan,78,13,Left/Centre/Right Attacking Midfielder,Armenia,21 January 1989,314973
1529,Temuri Ketsbaia,78,8,Midfielder,Georgia,18 March 1968,1715
1530,Jordon Mutch,78,7,Midfielder,England,2 December 1991,339230
1531,Stephen Hughes,78,5,Midfielder,England,18 September 1976,352903
1532,Kobbie Mainoo,78,4,Centre Central Midfielder,England,19 April 2005,328496
1533,Levi Colwill,78,3,Centre Central Defender,England,26 February 2003,323026
1534,Martín Demichelis,78,3,Centre Central Defender,Argentina,20 December 1980,55574
1535,Stephen McPhail,78,3,Midfielder,Ireland,9 December 1979,112547
1536,Hugo Bueno,78,1,Left Full Back,Spain,18 September 2002,362983
1537,Illia Zabarnyi,78,1,Central Defender,Ukraine,1 September 2002,740539
1538,Lee Briscoe,78,1,Defender,England,30 September 1975,776
1539,Luis Garcia,77,18,Left Winger,Spain,24 June 1978,126073
1540,Michy Batshuayi,77,15,Centre Striker,Belgium,2 October 1993,735449
1541,Bertrand Traoré,77,12,Left/Right Winger,Burkina Faso,6 September 1995,741616
1542,Giovani Lo Celso,77,3,Centre Attacking Midfielder,Argentina,9 April 1996,363849
1543,Sebastian Prödl,77,3,Centre Central Defender,Austria,21 June 1987,281604
1544,Richard Stearman,77,1,Centre Central Defender,England,19 August 1987,350703
1545,Sebastien Schemmel,77,1,Defender,France,2 June 1975,3325
1546,Stephen Jordan,77,0,Left Full Back,England,6 March 1982,10889
1547,Ade Akinbiyi,76,11,Forward,Nigeria,10 October 1974,28290
1548,Matt Derbyshire,76,10,Centre Striker,England,14 April 1986,336103
1549,Patson Daka,76,10,Centre Striker,Zambia,9 October 1998,277554
1550,Sylvan Ebanks-Blake,76,10,Striker,England,29 March 1986,91124
1551,James Harper,76,9,Midfielder,England,9 November 1980,16316
1552,Petter Rudi,76,7,Midfielder,Norway,17 September 1973,1728
1553,Lisandro Martínez,76,3,Central Defender,Argentina,18 January 1998,318813
1554,Neil Thompson,76,3,Defender,England,2 October 1963,1779
1555,Slaven Bilic,76,2,Defender,Croatia,11 September 1968,1652
1556,Marcos Rojo,76,1,Left/Centre Central Defender,Argentina,20 March 1990,295821
1557,Albert Ferrer,76,0,Defender,Spain,6 June 1970,1867
1558,Boubakary Soumaré,76,0,Centre Central Midfielder,France,27 February 1999,346824
1559,Anthony Pilkington,75,14,Left/Right Winger,Ireland,6 June 1988,281795
1560,Barry Hayles,75,13,Forward,Jamaica,17 May 1972,19002
1561,Roy Wegerle,75,13,Forward,United States,19 March 1964,133
1562,Enner Valencia,75,11,Striker,Ecuador,4 November 1989,256523
1563,Facundo Buonanotte,75,9,Centre Attacking Midfielder,Argentina,23 December 2004,774178
1564,Alan Smith,75,8,Forward,England,21 November 1962,26
1565,Michael Kightly,75,7,Left Winger,England,24 January 1986,50106
1566,Micky van de Ven,75,7,Central Defender,Netherlands,19 April 2001,344362
1567,Adnan Januzaj,75,5,Left/Centre/Right Attacking Midfielder,Belgium,5 February 1995,361635
1568,Nikola Milenkovic,75,5,Centre Central Defender,Serbia,12 October 1997,361201
1569,David Rocastle,75,4,Midfielder,England,2 May 1967,42142
1570,Dennis Rommedahl,75,4,Left/Right Winger,Denmark,22 July 1978,112352
1571,Stephen Froggatt,75,4,Midfielder,England,9 March 1973,1878
1572,Abel Xavier,75,2,Defender,Portugal,30 November 1972,4079
1573,Enda Stevens,75,2,Defender,Ireland,9 July 1990,764369
1574,Ryan Fredericks,75,2,Right Wing Back,England,10 October 1992,314640
1575,Frank Onyeka,75,1,Midfielder,Nigeria,1 January 1998,785414
1576,Nigel Pearson,75,1,Defender,England,21 August 1963,1224
1577,Alan Neilson,75,0,Defender,Wales,26 September 1972,2791
1578,Édouard Mendy,75,0,Goalkeeper,Senegal,1 March 1992,256071
1579,Mikel Merino,74,12,Centre Central Midfielder,Spain,22 June 1996,363429
1580,Mark Walters,74,11,Midfielder,England,2 June 1964,42046
1581,Mathias Svensson,74,9,Forward,Sweden,24 September 1974,3686
1582,Simon Adingra,74,9,Left Winger,Cote D’Ivoire,1 January 2002,738344
1583,Liam Lawrence,74,7,Left/Right Attacking Midfielder,Ireland,14 December 1981,18831
1584,Cameron Archer,74,6,Forward,England,9 December 2001,362951
1585,Robert Ullathorne,74,5,Defender,England,11 October 1971,1682
1586,Alan Kernaghan,74,3,Defender,Ireland,25 April 1967,712
1587,Kevin Foley,74,2,Right Full Back,Ireland,1 November 1984,91143
1588,Pau Torres,74,2,Central Defender,Spain,16 January 1997,341884
1589,Robbie Stockdale,74,2,Defender,Scotland,30 November 1979,27553
1590,Christopher Schindler,74,1,Centre Central Defender,Germany,29 April 1990,312524
1591,John Filan,74,0,Goalkeeper,Australia,8 February 1970,4043
1592,Karl Darlow,74,0,Goalkeeper,Wales,8 October 1990,785953
1593,Mark Flekken,74,0,Goalkeeper,Netherlands,13 June 1993,737621
1594,Dalian Atkinson,73,22,Forward,England,21 March 1968,41926
1595,Teemu Pukki,73,22,Forward,Finland,29 March 1990,735535
1596,Anwar El Ghazi,73,15,Left/Right Winger,Netherlands,3 May 1995,362146
1597,Marc Vivien Foe,73,10,Midfielder,Cameroon,1 May 1975,2968
1598,Chris Eagles,73,7,Left/Right Winger,England,19 November 1985,161189
1599,Jack Collison,73,7,Left/Centre/Right Central Midfielder,Wales,2 October 1988,19839
1600,Gavin Johnson,73,6,Midfielder,England,10 October 1970,95235
1601,Robert Molenaar,73,6,Defender,Netherlands,27 February 1969,2529
1602,Bernard,73,5,Midfielder,Brazil,8 September 1992,347003
1603,Brenden Aaronson,73,5,Centre Attacking Midfielder,United States,22 October 2000,342721
1604,Pablo Hernández,73,5,Left/Centre/Right Attacking Midfielder,Spain,11 April 1985,297575
1605,Ivar Ingimarsson,73,4,Defender,Iceland,20 August 1977,178415
1606,Lesley Ugochukwu,73,4,Defensive Midfielder,France,26 March 2004,786102
1607,Moussa Djenepo,73,3,Forward,Mali,15 June 1998,136802
1608,Destiny Udogie,73,2,Right Full Back,Italy,28 November 2002,323826
1609,John Egan,73,2,Defender,Ireland,20 October 1992,734553
1610,Robin Koch,73,0,Central Defender,Germany,17 July 1996,360556
1611,Stuart Dallas,72,9,Right Full Back,Northern Ireland,19 April 1991,19433
1612,Anthony Knockaert,72,5,Left/Centre/Right Attacking Midfielder,France,20 November 1991,347968
1613,Mateus Fernandes,72,5,Central Midfielder,Portugal,10 July 2004,785463
1614,Daryl Murphy,72,4,Centre Striker,Ireland,15 March 1983,166806
1615,Jamie Lawrence,72,4,Midfielder,Jamaica,8 March 1970,2079
1616,Peter Fear,72,4,Defender,England,10 September 1973,570
1617,Tommy Widdrington,72,3,Midfielder,England,1 October 1971,28730
1618,Gabriel Obertan,72,2,Right Winger,France,26 February 1989,259102
1619,Igor Biscan,72,2,Centre Central Defender,Croatia,4 May 1978,98909
1620,Paul Butler,72,2,Defender,Ireland,2 November 1972,353045
1621,Clint Hill,72,1,Centre Central Defender,England,19 October 1978,55718
1622,Mitch Ward,72,1,Midfielder,England,19 June 1971,1658
1623,André Onana,72,0,Goalkeeper,Cameroon,2 April 1996,751903
1624,Brian McAllister,72,0,Defender,Scotland,30 November 1970,562
1625,Michael Oakes,72,0,Goalkeeper,England,30 October 1973,3378
1626,Jørgen Strand Larsen,71,18,Striker,Norway,6 February 2000,776263
1627,Alun Armstrong,71,13,Forward,England,22 February 1975,2395
1628,Jonathan de Guzmán,71,9,Centre Central Midfielder,Netherlands,13 September 1987,129381
1629,Georginio Rutter,71,8,Centre Striker,France,20 April 2002,363094
1630,Reiss Nelson,71,5,Striker,England,10 December 1999,741730
1631,Eddie Youds,71,3,Defender,England,3 May 1970,2026
1632,Laurent Charvet,71,3,Defender,France,8 May 1973,2438
1633,Andy Thorn,71,2,Forward,England,12 November 1966,1077
1634,Stuart McCall,71,2,Midfielder,Scotland,10 June 1964,353300
1635,Tony Grant,71,2,Midfielder,England,14 November 1974,352848
1636,Ian Maatsen,71,1,Left Full Back,Netherlands,10 March 2002,359330
1637,Jonas Lössl,71,0,Goalkeeper,Denmark,1 February 1989,299538
1638,Marvelous Nakamba,71,0,Midfielder,Zimbabwe,19 January 1994,776425
1639,Mario Balotelli,70,21,Centre Striker,Italy,12 August 1990,357837
1640,Mikkel Beck,70,12,Forward,Denmark,12 May 1973,1894
1641,Amad Diallo,70,11,Forward,Cote D’Ivoire,11 July 2002,328378
1642,Jaidon Anthony,70,10,Left Winger,England,1 December 1999,785889
1643,Craig Fagan,70,5,Centre/Right Second Striker,England,11 December 1982,10973
1644,Santiago Bueno,70,3,Centre Central Defender,Uruguay,9 November 1998,349565
1645,Sofiane Boufal,70,3,Forward,Morocco,17 September 1993,365030
1646,Maxence Lacroix,70,2,Central Defender,France,6 April 2000,786341
1647,Adam Wharton,70,1,Central Midfielder,England,6 February 2004,356624
1648,Eric Bailly,70,1,Centre Central Defender,Cote D’Ivoire,12 April 1994,18272
1649,Chris Woods,70,0,Goalkeeper,England,14 November 1959,1523
1650,Lee Young-Pyo,70,0,Left/Right Full Back,South Korea,23 April 1977,110519
1651,Olivier Tebily,70,0,Defender,Cote D’Ivoire,19 December 1975,2829
1652,Fernando Llorente,69,17,Centre Striker,Spain,26 February 1985,296173
1653,José Antonio Reyes,69,16,Left/Right Winger,Spain,1 September 1983,153014
1654,Wilson Odobert,69,4,Left Winger,France,28 November 2004,362852
1655,Rico Lewis,69,3,Right Full Back,England,21 November 2004,322362
1656,Ryan Mason,69,3,Centre Central Midfielder,England,13 June 1991,34878
1657,Bernard Mendy,69,2,Right Winger,France,20 August 1981,4975
1658,Jozy Altidore,69,2,Centre Striker,United States,6 November 1989,337664
1659,Mikele Leigertwood,69,2,Centre Defensive Midfielder,Antigua & Barbuda,12 November 1982,6404
1660,Álvaro Arbeloa,69,2,Right Full Back,Spain,17 January 1983,35596
1661,Guy Demel,69,1,Right Full Back,Cote D’Ivoire,13 June 1981,6527
1662,Jordan Stewart,69,1,Full Back,England,3 March 1982,115071
1663,Steve McMahon,69,1,Midfielder,England,20 August 1961,42048
1664,Adam Forshaw,69,0,Midfielder,England,8 October 1991,749756
1665,Scott Fitzgerald,69,0,Defender,England,13 August 1969,569
1666,Graziano Pellè,68,23,Centre Striker,Italy,15 July 1985,284990
1667,Alen Boksic,68,22,Forward,Croatia,21 January 1970,2477
1668,Álvaro Negredo,68,18,Striker,Spain,20 August 1985,357255
1669,André Schürrle,68,17,Left Winger,Germany,6 November 1990,133707
1670,Evan Ferguson,68,13,Striker,Ireland,19 October 2004,738956
1671,Frédéric Piquionne,68,11,Forward,France,8 December 1978,176489
1672,Joselu,68,10,Centre Striker,Spain,27 March 1990,101226
1673,Bryan Ruiz,68,8,Left Attacking Midfielder,Costa Rica,18 August 1985,24707
1674,Fábio Rochemback,68,5,Midfielder,Brazil,10 December 1981,3928
1675,Wim Jonk,68,5,Midfielder,Netherlands,12 October 1966,1983
1676,Mal Donaghy,68,3,Defender,Northern Ireland,13 September 1957,96
1677,Kenny McLean,68,2,Centre Central Midfielder,Scotland,8 January 1992,143584
1678,Raphaël Varane,68,2,Centre Central Defender,France,25 April 1993,287525
1679,Steve Morgan,68,2,Defender,England,19 September 1968,686
1680,Thiago Alcântara,68,2,Centre Central Midfielder,Spain,11 April 1991,255615
1681,André,68,1,Centre Defensive Midfielder,Brazil,16 July 2001,363807
1682,Julien Faubert,68,1,Right Full Back,Martinique,1 August 1983,8128
1683,Tyrone Mears,68,1,Right Full Back,Jamaica,18 February 1983,136335
1684,Keith Branagan,68,0,Goalkeeper,Ireland,10 July 1966,2372
1685,Mohammed Salisu,68,0,Central Defender,Ghana,17 April 1999,343487
1686,Julián Alvarez,67,20,Centre Striker,Argentina,31 January 2000,362733
1687,Kevin Gallen,67,18,Forward,England,21 September 1975,29445
1688,Evanilson,67,16,Centre Striker,Brazil,6 October 1999,362874
1689,Odion Ighalo,67,16,Centre Striker,Nigeria,16 June 1989,336686
1690,Arjen Robben,67,15,Right Winger,Netherlands,23 January 1984,185103
1691,Liam Delap,67,13,Centre Striker,England,8 February 2003,737015
1692,Glyn Hodges,67,6,Midfielder,Wales,30 April 1963,2042
1693,Markus Babbel,67,6,Defender,Germany,8 September 1972,3160
1694,Marc Pugh,67,5,Left Winger,England,2 April 1987,261396
1695,Matt Holmes,67,5,Midfielder,England,1 August 1969,1857
1696,Neil Heaney,67,5,Forward,England,11 August 1972,41924
1697,Didier Domi,67,3,Left Full Back,France,2 May 1978,174352
1698,Jean Beausejour,67,3,Left Winger,Chile,1 June 1984,6210
1699,Ben Gibson,67,2,Centre Central Defender,England,15 January 1993,359149
1700,Nigel Spackman,67,0,Midfielder,England,2 December 1960,42017
1701,Paddy Kenny,67,0,Goalkeeper,Ireland,17 May 1978,30850
1702,Iliman Ndiaye,66,15,Left Winger,Senegal,6 March 2000,359912
1703,Jack Hinshelwood,66,12,Centre Defensive Midfielder,England,11 April 2005,335797
1704,Yankuba Minteh,66,9,Left/Centre/Right Winger,Gambia,22 July 2004,359408
1705,Andrii Yarmolenko,66,8,Left/Centre Second Striker,Ukraine,23 October 1989,8287
1706,Pablo Sarabia,66,8,Left/Centre/Right Attacking Midfielder,Spain,11 May 1992,336549
1707,Raul Meireles,66,7,Centre/Right Central Midfielder,Portugal,17 March 1983,24145
1708,Sam Clucas,66,6,Midfielder,England,25 September 1990,737542
1709,Danny Williamson,66,5,Midfielder,England,5 December 1973,1663
1710,Paul Gascoigne,66,5,Midfielder,England,27 May 1967,2366
1711,Yasin Ayari,66,5,Midfielder,Sweden,6 October 2003,355287
1712,Junichi Inamoto,66,4,Midfielder,Japan,18 September 1979,3742
1713,Jermaine Wright,66,3,Midfielder,England,21 October 1975,2926
1714,Orel Mangala,66,3,Centre Central Midfielder,Belgium,18 March 1998,363774
1715,Liam Cooper,66,2,Central Defender,Scotland,30 August 1991,762305
1716,Miguel Britos,66,2,Left/Centre Central Defender,Uruguay,17 July 1985,20252
1717,Richard Cresswell,66,2,Forward,England,20 September 1977,13658
1718,Jefferson Montero,66,1,Left/Right Winger,Ecuador,1 September 1989,337148
1719,Sascha Riether,66,1,Right Full Back,Germany,23 March 1983,24074
1720,Alan Kelly,66,0,Goalkeeper,Ireland,11 August 1968,2576
1721,Bruce Grobbelaar,66,0,Goalkeeper,Zimbabwe,6 October 1957,1795
1722,Kostas Tsimikas,66,0,Left Full Back,Greece,12 May 1996,741657
1723,Míchel Salgado,66,0,Right Full Back,Spain,22 October 1975,5275
1724,Nicolas Jackson,65,24,Centre Second Striker,Senegal,20 June 2001,741638
1725,Raphinha,65,17,Right Winger,Brazil,14 December 1996,317489
